year,#1,#2,#3
1956,Stanley Matthews,Alfredo Di Stéfano,Raymond Kopa
1957,Alfredo Di Stéfano,Billy Wright,Duncan Edwards
1958,Raymond Kopa,Helmut Rahn,Just Fontaine
1959,Alfredo Di Stéfano,Raymond Kopa,John Charles
1960,Luis Suárez,Ferenc Puskás,Uwe Seeler
1961,Omar Sívori,Luis Suárez,Johnny Haynes
1962,Josef Masopust,Dukla Prag,Eusébio
1963,Lew Jaschin,Dynamo Moskau,Gianni Rivera
1964,Denis Law,Luis Suárez,Amancio
1965,Eusébio,Giacinto Facchetti,Luis Suárez
1966,Bobby Charlton,Eusébio,Franz Beckenbauer
1967,Flórián Albert,Bobby Charlton,Jimmy Johnstone
1968,George Best,Bobby Charlton,Dragan Džajić
1969,Gianni Rivera,Luigi Riva,Gerd Müller
1970,Gerd Müller,Bobby Moore,Luigi Riva
1971,Johan Cruyff,Sandro Mazzola,George Best
1972,Franz Beckenbauer,Gerd Müller,Günter Netzer
1973,Johan Cruyff
1974,Johan Cruyff,Franz Beckenbauer,Kazimierz Deyna
1975,Oleh Blochin,Dynamo Kiew,Franz Beckenbauer
1976,Franz Beckenbauer,Rob Rensenbrink,Ivo Viktor
1977,Allan Simonsen,Kevin Keegan,Michel Platini
1978,Kevin Keegan,Hans Krankl,Rob Rensenbrink
1979,Kevin Keegan,Karl-Heinz Rummenigge,Ruud Krol
1980,Karl-Heinz Rummenigge,Bernd Schuster,Michel Platini
1981,Karl-Heinz Rummenigge,Paul Breitner,Bernd Schuster
1982,Paolo Rossi,Alain Giresse,Zbigniew Boniek
1983,Michel Platini,Kenny Dalglish,Allan Simonsen
1984,Michel Platini,Jean Tigana,Preben Elkjær Larsen
1985,Michel Platini,Preben Elkjær Larsen,Bernd Schuster
1986,Ihor Bjelanow,Dynamo Kiew,Gary Lineker
1987,Ruud Gullit
1988,Marco van Basten,Ruud Gullit,Frank Rijkaard
1989,Marco van Basten,Franco Baresi,Frank Rijkaard
1990,Lothar Matthäus,Salvatore Schillaci,Andreas Brehme
1991,Jean-Pierre Papin,Lothar Matthäus,Darko Pančev
1992,Marco van Basten,Christo Stoitschkow,Dennis Bergkamp
1993,Roberto Baggio,Dennis Bergkamp,Éric Cantona
1994,Christo Stoitschkow,Roberto Baggio,Paolo Maldini
1995,George Weah
1996,Matthias Sammer,Ronaldo,Alan Shearer
1997,Ronaldo
1998,Zinédine Zidane,Davor Šuker,Ronaldo
1999,Rivaldo,David Beckham,Andrij Schewtschenko
2000,Luís Figo,Zinédine Zidane,Andrij Schewtschenko
2001,Michael Owen,Raúl,Oliver Kahn
2002,Ronaldo,Roberto Carlos,Oliver Kahn
2003,Pavel Nedvěd,Thierry Henry,Paolo Maldini
2004,Andrij Schewtschenko,Deco,Ronaldinho
2005,Ronaldinho,Frank Lampard,Steven Gerrard
2006,Fabio Cannavaro,Gianluigi Buffon,Thierry Henry
2007,Kaká,Cristiano Ronaldo,Lionel Messi
2008,Cristiano Ronaldo,Lionel Messi,Fernando Torres
2009,Lionel Messi,Cristiano Ronaldo,Xavi
2010,Lionel Messi,Andrés Iniesta,Xavi
2011,Lionel Messi,Cristiano Ronaldo,Xavi
2012,Lionel Messi,Cristiano Ronaldo,Andrés Iniesta
2013,Cristiano Ronaldo,Lionel Messi,Franck Ribéry
2014,Cristiano Ronaldo,Lionel Messi,Manuel Neuer
2015,Lionel Messi,Cristiano Ronaldo,Neymar
2016,Cristiano Ronaldo,Lionel Messi,Antoine Griezmann
2017,Cristiano Ronaldo,Lionel Messi,Neymar
2018,Luka Modrić,Cristiano Ronaldo,Antoine Griezmann
2019,Lionel Messi,Virgil van Dijk,Cristiano Ronaldo
2021,Lionel Messi,Robert Lewandowski,Jorginho
2022,Karim Benzema,Sadio Mané,Kevin De Bruyne
